,rank,artist,song,rank_last_week,peak_rank,weeks_on_chart,date,week
0,1,Mariah Carey,All I Want For Christmas Is You,1,1,37,2020-01-04,1
1,2,Brenda Lee,Rockin' Around The Christmas Tree,2,2,32,2020-01-04,1
2,3,Bobby Helms,Jingle Bell Rock,9,3,30,2020-01-04,1
3,4,Burl Ives,A Holly Jolly Christmas,6,4,15,2020-01-04,1
4,5,Post Malone,Circles,3,1,17,2020-01-04,1
5,6,Arizona Zervas,Roxanne,4,4,8,2020-01-04,1
6,7,Andy Williams,It's The Most Wonderful Time Of The Year,15,7,15,2020-01-04,1
7,8,Lewis Capaldi,Someone You Loved,8,1,33,2020-01-04,1
8,9,Maroon 5,Memories,7,4,14,2020-01-04,1
9,10,Lizzo,Good As Hell,10,3,18,2020-01-04,1
10,11,Wham!,Last Christmas,17,11,14,2020-01-04,1
11,12,Jose Feliciano,Feliz Navidad,23,12,9,2020-01-04,1
12,13,Roddy Ricch,The Box,18,13,3,2020-01-04,1
13,14,Tones And I,Dance Monkey,11,9,12,2020-01-04,1
"14,15,Dean Martin,""Let It Snow, Let It Snow, Let It Snow"",28,15,8,2020-01-04,1"
15,16,Nat King Cole,The Christmas Song (Merry Christmas To You),30,11,21,2020-01-04,1
"16,17,Dan + Shay & Justin Bieber,""10,000 Hours"",13,4,12,2020-01-04,1"
17,18,Selena Gomez,Lose You To Love Me,12,1,10,2020-01-04,1
18,19,Mustard & Roddy Ricch,Ballin',14,14,23,2020-01-04,1
19,20,DaBaby,BOP,16,11,13,2020-01-04,1
20,21,The Ronettes,Sleigh Ride,37,21,7,2020-01-04,1
21,22,Gene Autry,Rudolph The Red-Nosed Reindeer,36,16,8,2020-01-04,1
22,23,Billie Eilish,Bad Guy,25,1,39,2020-01-04,1
23,24,Andy Williams,Happy Holiday / The Holiday Season,40,24,4,2020-01-04,1
24,25,Chris Brown Featuring Drake,No Guidance,20,5,29,2020-01-04,1
25,26,Shawn Mendes & Camila Cabello,Senorita,21,1,27,2020-01-04,1
26,27,Juice WRLD & YoungBoy Never Broke Again,Bandit,19,10,12,2020-01-04,1
27,28,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas,50,28,4,2020-01-04,1
28,29,Darlene Love,Christmas (Baby Please Come Home),0,29,3,2020-01-04,1
29,30,Lil Nas X,Panini,29,5,27,2020-01-04,1
30,31,Kelly Clarkson,Underneath The Tree,0,31,5,2020-01-04,1
31,32,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),47,28,6,2020-01-04,1
32,33,Young Thug Featuring Gunna,Hot,31,11,19,2020-01-04,1
33,34,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,41,1,43,2020-01-04,1
34,35,Lizzo,Truth Hurts,32,1,34,2020-01-04,1
35,36,Chuck Berry,Run Rudolph Run,0,36,5,2020-01-04,1
36,37,Perry Como,(There's No Place Like) Home For The Holidays,0,32,3,2020-01-04,1
37,38,Travis Scott,HIGHEST IN THE ROOM,27,1,12,2020-01-04,1
38,39,The Weeknd,Heartless,26,1,5,2020-01-04,1
39,40,Elvis Presley,Blue Christmas,0,40,2,2020-01-04,1
40,41,Billie Eilish,Everything I Wanted,34,8,7,2020-01-04,1
