Rank,artist,song,Length (seconds),genres
1,The Weeknd,Blinding Lights,202,Synthwave & Synth-pop & Electropop
2,Post Malone,Circles,214,Pop rock & Soft rock & Downtempo
3,Roddy Ricch,The Box,196,Hip hop & Trap
4,Dua Lipa,Don't Start Now,183,Nu-disco
5,DaBaby feat. Roddy Ricch,Rockstar,181,Hip hop & Trap
6,Harry Styles,Adore You,207,Pop & Funk & Disco & Pop rock
7,Future feat. Drake,Life Is Good,238,Trap
8,Maroon 5,Memories,189,Pop & Soft rock
9,Maren Morris,The Bones,197,Pop & Country
10,Lewis Capaldi,Someone You Loved,182,Pop
11,Doja Cat,Say So,238,Pop & Bubblegum pop & Disco pop & Pop rap
12,Gabby Barrett feat. Charlie Puth,I Hope,203,Country & Country pop
13,Jack Harlow feat. DaBaby & Tory Lanez & Lil Wayne,Whats Poppin,139,Hip hop & Trap
14,Tones and I,Dance Monkey,209,Electropop & Pop
15,Megan Thee Stallion feat. Beyonce,Savage,156,Hip hop & Rap
16,Arizona Zervas,Roxanne,163,Pop & Rap
17,Justin Bieber feat. Quavo,Intentions,212,R&B
18,Billie Eilish,Everything I Wanted,245,Pop & Alternative pop
19,Saint Jhn,Roses (Imanbek Remix),173,Dance & Electro house & Slap house & Hip house
20,Harry Styles,Watermelon Sugar,173,Rock & Funk pop & Indie pop
21,Lewis Capaldi,Before You Go,216,Soft pop & Pop
22,Trevor Daniel,Falling,159,R&B & Hip hop & Alternative R&B
23,Dan + Shay and Justin Bieber,10 000 Hours,167,Country pop
24,Cardi B feat. Megan Thee Stallion,WAP,187,Hip hop & Dirty rap & Trap
25,Mustard feat. Roddy Ricch,Ballin',180,Hip hop & Rap
26,Blackbear,Hot Girl Bummer,185,Pop rap & Emo rap
27,Lil Mosey,Blueberry Faygo,163,Hip hop & Rap
28,The Weeknd,Heartless,201,R&B & Trap
29,DaBaby,Bop,159,Hip hop & Rap
30,Selena Gomez,Lose You to Love Me,206,Pop
31,Lizzo,Good as Hell,159,R&B & Pop
32,Drake,Toosie Slide,247,Trap
33,Dua Lipa,Break My Hear,221,Dance pop & Disco funk
34,Morgan Wallen,Chasin' You,205,Country
35,Jawsh 685 and Jason Derulo,Savage Love (Laxed – Siren Beat),171,Dancehall & Reggaeton
36,Chris Brown feat. Drake,No Guidance,262,R&B
37,Camila Cabello feat. DaBaby,My Oh My,171,Pop
38,BTS,Dynamite,199,Disco pop
39,Chris Brown and Young Thug,Go Crazy,174,R&B & Trap
40,Roddy Ricch feat. Mustard,High Fashion,220,West Coast hip hop
41,Drake feat. Lil Durk,Laugh Now Cry Later,261,Hip hop & Rap
42,Lil Baby,Woah,183,Trap
43,Powfu feat. Beabadoobee, Death Bed,173,Lo-fi hip hop
44,Shawn Mendes and Camila Cabello,Senorita,191,Latin pop
45,Travis Scott,Highest in the Room,176,Trap
46,Billie Eilish,Bad Guy,194,Electropop & Dance pop & Pop trap & Nu-goth pop
47,24kGoldn feat. Iann Dior,Mood,140,Pop rap & Rap rock
48,Lady Gaga and Ariana Grande,Rain on Me,182,Dance pop & House & Disco & Electropop
49,Pop Smoke feat. Lil Baby and DaBaby,For the Night,190,Hip hop & Trap & Soul
50,Black Eyed Peas and J Balvin,Ritmo (Bad Boys for Life),214,Hip hop & Pop & Reggaeton
51,Rod Wave,Heart on Ice,159,Trap
52,Blake Shelton and Gwen Stefani,Nobody but You,195,Country & Pop
53,Shaed,Trampoline,184,Electro
54,Juice Wrld and Marshmello,Come & Go,205,Emo rap & EDM & Pop punk
55,Lizzo,Truth Hurts,173,Hip hop & Pop
56,JP Saxe feat. Julia Michaels,If the World Was Ending,208,Pop
57,Lil Baby and 42 Dugg,We Paid,181,Trap
58,Justin Bieber,Yummy,210,R&B
59,Old Dominion,One Man Band,188,Country
60,Jason Aldean,Got What I Got,178,Country & R&B & Country pop
61,Surfaces,Sunday Best,159,R&B & Soul & Pop
62,Eminem feat. Juice Wrld,Godzilla,210,Hip hop
63,Juice Wrld and YoungBoy Never Broke Again,Bandit,189,Hip hop & Rap
64,StaySolidRocky,Party Girl,147,Emo rap
65,Maddie & Tae,Die from a Broken Heart,188,Country
66,DJ Khaled feat. Drake,Popstar,200,Hip hop & Trap
67,Mariah Carey,All I Want for Christmas Is You,241,Christmas & Dance pop & R&B
68,Lee Brice,One of Them Girls,187,Country
69,Sam Hunt,Hard to Forget,204,Country
70,Luke Bryan,One Margarita,193,Country
71,Lil Nas X,Panini,114,Hip hop & Trap & Pop
72,Young Thug feat. Gunna,Hot,193,Hip hop & Rap
73,Carly Pearce and Lee Brice,I Hope You're Happy Now,199,Country
74,Lil Baby,Emotionally Scarred,198,Hip hop & Rap
75,YNW Melly feat. Juice Wrld,Suicidal,222,Emo rap & Trap
76,Lil Baby,The Bigger Picture,253,Political hip hop & Trap
77,Jonas Brothers,Only Human,183,Reggae pop
78,Pop Smoke feat. 50 Cent and Roddy Ricch,The Woo,202,Trap
79,Lil Baby,Sum 2 Prove,205,Trap
80,Ariana Grande and Justin Bieber,Stuck with U,228,Pop & R&B
81,Pop Smoke feat. Lil Tjay,Mood Swings,213,R&B
82,Halsey,You Should Be Sad,205,Country pop
83,Pop Smoke,Dior,216,Drill & Hip hop
84,Benee feat. Gus Dapperton,Supalonely,223,Alternative & Indie
85,Luke Combs,Even Though I'm Leaving,225,Country
86, Travis Scott and Kid Cudi,The Scotts,165,Hip hop & Trap & Electronic
87,Doja Cat and Tyga,Juicy,202,Bounce
88,Kane Brown & Swae Lee and Khalid,Be Like That,191,Pop
89,Kane Brown,Homesick,205,Country
90,Rod Wave feat. ATR Son Son,Rags2Riches,167,Hip hop & Rap
91,Miranda Lambert,Bluebird,210,Country
