Position,Track Name,Artist,Streams,URL,date,week
1,Dance Monkey,Tones And I,50183626,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-01-02,1
2,ROXANNE,Arizona Zervas,33254585,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020-01-02,1
3,Tusa,KAROL G,29349573,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2020-01-02,1
4,Memories,Maroon 5,26067853,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2020-01-02,1
5,Falling,Trevor Daniel,25901488,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2020-01-02,1
6,Circles,Post Malone,25481417,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2020-01-02,1
7,Don't Start Now,Dua Lipa,25355075,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2020-01-02,1
8,Blinding Lights,The Weeknd,24279792,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,2020-01-02,1
9,Senorita,Shawn Mendes,22341642,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2020-01-02,1
10,everything i wanted,Billie Eilish,21828884,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2020-01-02,1
1,Dance Monkey,Tones And I,50241241,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-01-09,2
2,Yummy,Justin Bieber,36772939,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,2020-01-09,2
3,ROXANNE,Arizona Zervas,33546219,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020-01-09,2
4,The Box,Roddy Ricch,32333490,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020-01-09,2
5,Tusa,KAROL G,29519007,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2020-01-09,2
6,Blinding Lights,The Weeknd,29198353,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,2020-01-09,2
7,Falling,Trevor Daniel,28253241,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2020-01-09,2
8,Don't Start Now,Dua Lipa,27338884,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2020-01-09,2
9,Memories,Maroon 5,27008690,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2020-01-09,2
10,Circles,Post Malone,26365136,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2020-01-09,2
1,Dance Monkey,Tones And I,52055226,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-01-16,3
2,The Box,Roddy Ricch,46771676,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020-01-16,3
3,Life Is Good (feat. Drake),Future,39404104,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,2020-01-16,3
4,Yummy,Justin Bieber,38715310,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,2020-01-16,3
5,Tusa,KAROL G,34288744,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2020-01-16,3
6,ROXANNE,Arizona Zervas,34104838,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020-01-16,3
7,Blinding Lights,The Weeknd,31993009,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,2020-01-16,3
8,Don't Start Now,Dua Lipa,29149812,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2020-01-16,3
9,Falling,Trevor Daniel,28908175,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2020-01-16,3
10,Memories,Maroon 5,26277252,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2020-01-16,3
1,Dance Monkey,Tones And I,50409214,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-01-23,4
2,The Box,Roddy Ricch,48937592,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020-01-23,4
3,Tusa,KAROL G,41434019,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2020-01-23,4
4,Godzilla (feat. Juice WRLD),Eminem,40637125,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,2020-01-23,4
5,Yummy,Justin Bieber,34586419,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,2020-01-23,4
6,Life Is Good (feat. Drake),Future,34200687,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,2020-01-23,4
7,Blinding Lights,The Weeknd,33551309,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,2020-01-23,4
8,ROXANNE,Arizona Zervas,32102084,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020-01-23,4
9,Falling,Trevor Daniel,28606316,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2020-01-23,4
10,Don't Start Now,Dua Lipa,28228768,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2020-01-23,4
1,Dance Monkey,Tones And I,48870726,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-01-30,5
2,The Box,Roddy Ricch,46753969,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020-01-30,5
3,Blinding Lights,The Weeknd,37841717,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,2020-01-30,5
4,Tusa,KAROL G,37220495,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2020-01-30,5
5,Godzilla (feat. Juice WRLD),Eminem,36136822,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,2020-01-30,5
6,Yummy,Justin Bieber,31623733,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,2020-01-30,5
7,Life Is Good (feat. Drake),Future,30860993,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,2020-01-30,5
